Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
A427,309,78,60.21,0.5802,0.3696,0.375,3.85,25.64,0.7188,0.6587,0.6259,0.6397,0.5971,0.6039,0.6218,0.6027,0.6195,0.5802
A549,321,81,48.76,0.5885,0.3795,0.39,3.7,13.58,0.5,0.6929,0.7403,0.7371,0.7179,0.6925,0.6543,0.629,0.6126,0.5885
ABC-1,308,78,43.52,0.511,0.3765,0.38,2.56,12.82,0.9062,0.7857,0.6493,0.6255,0.5921,0.5607,0.5351,0.5243,0.5077,0.511
BEN,275,69,29.36,0.624,0.2875,0.28,14.49,50.72,0.75,0.7083,0.8222,0.725,0.688,0.6389,0.5812,0.6456,0.5969,0.624
CAL-12T,279,70,59.6,0.5629,0.3824,0.41,5.71,17.14,0.8333,0.5667,0.5408,0.5417,0.575,0.5721,0.5589,0.5622,0.5722,0.5629
COR-L105,317,80,44.08,0.7251,0.352,0.385,16.25,30.0,0.9,0.9127,0.8407,0.8104,0.772,0.7519,0.7576,0.7477,0.7492,0.7251
COR-L23,321,81,53.48,0.5529,0.376,0.4,4.94,17.28,0.3214,0.5076,0.6076,0.5796,0.6135,0.6061,0.5802,0.5696,0.5732,0.5529
Calu-3,321,81,23.13,0.7384,0.2188,0.2,46.91,71.6,0.875,0.4688,0.3125,0.7457,0.675,0.75,0.7701,0.6912,0.7378,0.7384
Calu-6,339,85,37.26,0.5212,0.3562,0.38,8.24,29.41,0.675,0.4583,0.3791,0.4308,0.5202,0.5354,0.4711,0.4941,0.5634,0.5212
ChaGo-K-1,275,69,27.91,0.6176,0.2391,0.23,36.23,75.36,0.6667,0.625,0.5918,0.3946,0.4573,0.478,0.39,0.3864,0.5492,0.6176
EBC-1,318,80,46.23,0.6051,0.399,0.43,6.25,12.5,0.7917,0.6042,0.5053,0.558,0.557,0.5569,0.566,0.582,0.594,0.6051
EKVX,334,84,14.35,0.6356,0.1293,0.11,82.14,94.05,0.6944,0.3452,0.2101,0.3417,0.2697,0.5756,0.5378,0.5975,0.5672,0.6356
EMC-BAC-1,253,64,52.05,0.5067,0.3664,0.405,12.5,25.0,0.75,0.7125,0.6302,0.5844,0.5455,0.5476,0.534,0.5246,0.5063,0.5067
EMC-BAC-2,300,75,59.73,0.6177,0.3852,0.4,5.33,16.0,0.2143,0.69,0.5833,0.53,0.5492,0.6071,0.5492,0.5778,0.5674,0.6177
EPLC-272H,322,81,68.24,0.5439,0.2973,0.3,24.69,49.38,0.85,0.7153,0.6396,0.4752,0.454,0.4765,0.4802,0.5489,0.5863,0.5439
H3255,307,77,23.96,0.5835,0.219,0.2,48.05,67.53,0.4,0.4917,0.3824,0.3723,0.3796,0.4869,0.4747,0.5326,0.593,0.5835
HARA,321,81,58.71,0.6439,0.3653,0.38,6.17,22.22,0.6944,0.6167,0.6507,0.6261,0.6092,0.5929,0.5915,0.576,0.642,0.6439
HCC-15,322,81,27.79,0.5669,0.2684,0.27,22.22,61.73,0.525,0.275,0.165,0.415,0.4864,0.4279,0.451,0.5664,0.5554,0.5669
HCC-366,204,52,22.66,0.4887,0.1665,0.15,59.62,86.54,,0.8958,0.7583,0.6538,0.6125,0.5087,0.4108,0.4014,0.4038,0.4887
HCC-44,314,79,67.68,0.5401,0.3395,0.35,7.59,30.38,0.0,0.4107,0.5062,0.5641,0.5238,0.567,0.538,0.5086,0.5248,0.5401
HCC-78,320,80,60.75,0.6183,0.3708,0.39,3.75,20.0,0.3125,0.1818,0.418,0.5281,0.5604,0.6185,0.5683,0.6039,0.6112,0.6183
HCC-827,316,80,26.01,0.5384,0.2565,0.255,30.0,61.25,0.625,0.6583,0.6016,0.6169,0.5698,0.5126,0.478,0.4538,0.4717,0.5384
HOP-62,339,85,49.76,0.5847,0.4059,0.43,2.35,12.94,0.6667,0.6806,0.6424,0.6286,0.6359,0.6308,0.6263,0.6255,0.6216,0.5847
HOP-92,284,71,27.61,0.5681,0.2863,0.29,23.94,53.52,0.6667,0.5,0.4762,0.4077,0.3058,0.2446,0.4715,0.5254,0.5562,0.5681
IA-LM,334,84,21.77,0.4495,0.235,0.23,33.33,69.05,0.9643,0.5962,0.481,0.4226,0.5421,0.5823,0.6121,0.5082,0.5105,0.4495
KNS-62,246,62,32.47,0.4246,0.3227,0.33,9.68,40.32,1.0,0.7333,0.7051,0.6103,0.5595,0.5176,0.4206,0.4064,0.3937,0.4246
LC-1-sq,287,72,27.58,0.5823,0.2721,0.28,27.78,59.72,0.7083,0.68,0.5833,0.6131,0.6096,0.5565,0.581,0.5641,0.5797,0.5823
LC-2-ad,294,74,69.84,0.5943,0.2995,0.31,21.62,47.3,,0.6923,0.7444,0.6553,0.5625,0.5031,0.6363,0.5866,0.5743,0.5943
LCLC-103H,316,80,39.65,0.5925,0.3668,0.375,5.0,15.0,0.4333,0.4455,0.4916,0.5823,0.5838,0.6037,0.6076,0.6159,0.5929,0.5925
LCLC-97TM1,321,81,69.4,0.3491,0.3162,0.31,11.11,43.21,0.4,0.3485,0.5162,0.5754,0.4746,0.466,0.4634,0.3745,0.3446,0.3491
LK-2,320,80,49.75,0.5313,0.3791,0.41,6.25,17.5,1.0,0.8462,0.6296,0.5792,0.614,0.6025,0.5799,0.5625,0.5397,0.5313
LOU-NH91,321,81,30.1,0.5623,0.2557,0.25,33.33,61.73,0.8571,0.7803,0.8365,0.6907,0.565,0.556,0.5123,0.5941,0.5539,0.5623
LU-65,342,86,23.13,0.5657,0.2459,0.23,25.58,74.42,1.0,0.7344,0.75,0.7356,0.6946,0.6571,0.6018,0.5658,0.5,0.5657
LU-99A,316,79,36.46,0.6759,0.3142,0.33,18.99,32.91,1.0,0.9364,0.7227,0.6727,0.6581,0.6613,0.6003,0.5904,0.6263,0.6759
LXF-289,342,86,63.55,0.6437,0.3233,0.33,12.79,34.88,0.25,0.7923,0.6729,0.6837,0.5847,0.6716,0.6638,0.7047,0.6736,0.6437
NCI-H1155,341,86,52.22,0.5093,0.3962,0.41,3.49,9.3,0.55,0.3194,0.4031,0.4475,0.4549,0.46,0.4837,0.4966,0.5056,0.5093
NCI-H1299,324,82,30.05,0.5146,0.3079,0.31,18.29,45.12,0.7222,0.6136,0.5174,0.413,0.4109,0.4562,0.4847,0.5858,0.5433,0.5146
NCI-H1355,342,86,27.8,0.6522,0.27,0.27,19.77,68.6,0.5,0.3778,0.4476,0.4195,0.4875,0.672,0.6544,0.6295,0.6478,0.6522
NCI-H1435,316,80,23.74,0.6585,0.2457,0.24,36.25,72.5,0.5833,0.25,0.4875,0.62,0.5352,0.6377,0.5608,0.5957,0.6038,0.6585
NCI-H1437,276,70,52.6,0.57,0.3963,0.425,5.71,14.29,1.0,0.8958,0.7818,0.6631,0.7206,0.6882,0.6625,0.6244,0.5864,0.57
NCI-H1563,321,81,31.09,0.5871,0.2962,0.28,8.64,55.56,,0.9519,0.7588,0.6725,0.6145,0.4885,0.5872,0.6005,0.6094,0.5871
NCI-H1568,322,81,25.81,0.5561,0.2616,0.26,27.16,61.73,0.6667,0.4833,0.3728,0.2623,0.392,0.506,0.5157,0.4818,0.5571,0.5561
NCI-H1573,266,67,16.82,0.328,0.1748,0.16,62.69,82.09,0.5,0.3222,0.4423,0.3026,0.2212,0.1742,0.2442,0.2864,0.3682,0.328
NCI-H1581,338,85,55.08,0.6976,0.3939,0.42,7.06,14.12,1.0,0.5583,0.6765,0.6886,0.6586,0.7179,0.7416,0.7582,0.7362,0.6976
NCI-H1623,322,81,29.78,0.6668,0.2875,0.29,23.46,54.32,1.0,0.9135,0.807,0.8196,0.7569,0.7088,0.7341,0.6926,0.6691,0.6668
NCI-H1648,292,73,57.53,0.6622,0.3784,0.39,4.11,16.44,1.0,0.8056,0.7521,0.7715,0.7664,0.7297,0.7158,0.703,0.6857,0.6622
NCI-H1650,334,84,16.03,0.5184,0.1482,0.14,76.19,94.05,0.5,0.4423,0.4,0.3988,0.4163,0.4722,0.3967,0.3362,0.4273,0.5184
NCI-H1651,321,81,35.07,0.5473,0.3152,0.33,20.99,38.27,0.45,0.2727,0.2421,0.3913,0.4239,0.5478,0.45,0.4238,0.5178,0.5473
NCI-H1666,337,85,22.27,0.7253,0.2228,0.2,45.88,78.82,,0.875,0.56,0.6641,0.7147,0.7389,0.7151,0.7297,0.6965,0.7253
NCI-H1693,281,71,18.47,0.5158,0.1937,0.17,59.15,84.51,0.7857,0.7083,0.5347,0.6104,0.5268,0.4886,0.5515,0.507,0.554,0.5158
NCI-H1703,266,67,52.25,0.4616,0.3728,0.39,4.48,20.9,0.8,0.6354,0.5577,0.5278,0.498,0.4914,0.4796,0.4624,0.4659,0.4616
NCI-H1734,260,66,49.39,0.5571,0.3738,0.39,6.06,22.73,0.4583,0.4778,0.478,0.4611,0.4662,0.4795,0.5063,0.5257,0.5445,0.5571
NCI-H1755,321,81,41.54,0.6892,0.3736,0.4,7.41,24.69,0.8125,0.7981,0.6974,0.7199,0.7541,0.7509,0.7532,0.735,0.7008,0.6892
NCI-H1770,298,75,44.5,0.5334,0.392,0.42,2.67,14.67,0.6,0.2841,0.3,0.4709,0.4908,0.48,0.4969,0.5,0.5203,0.5334
NCI-H1781,322,81,31.76,0.5709,0.2864,0.3,24.69,49.38,0.7778,0.7727,0.6765,0.6204,0.6351,0.6967,0.5934,0.5738,0.5609,0.5709
NCI-H1792,320,81,62.84,0.4689,0.3636,0.38,4.94,24.69,0.5714,0.5333,0.6558,0.5423,0.5103,0.5224,0.5047,0.5,0.4979,0.4689
NCI-H1793,316,80,10.61,0.6239,0.1065,0.095,86.25,97.5,,,0.9348,0.75,0.7252,0.5963,0.5063,0.4399,0.6299,0.6239
NCI-H1838,288,73,4.99,0.5127,0.0563,0.04,97.26,98.63,,0.7143,0.4762,0.3448,0.2778,0.506,0.602,0.6432,0.5706,0.5127
NCI-H1869,334,84,26.08,0.6606,0.2637,0.27,27.38,61.9,0.8214,0.619,0.681,0.6349,0.5699,0.5659,0.5407,0.6176,0.6327,0.6606
NCI-H1915,322,81,33.75,0.5902,0.3217,0.32,7.41,38.27,0.8611,0.3929,0.495,0.5475,0.6374,0.5881,0.5741,0.5592,0.5802,0.5902
NCI-H1944,322,81,59.8,0.4668,0.3612,0.38,7.41,23.46,0.625,0.4306,0.4519,0.3481,0.488,0.4095,0.4,0.419,0.4373,0.4668
NCI-H1975,342,86,48.83,0.5943,0.391,0.42,4.65,17.44,0.8056,0.7769,0.7882,0.7386,0.6544,0.6319,0.622,0.606,0.607,0.5943
NCI-H1993,320,81,24.19,0.4843,0.2431,0.24,35.8,65.43,0.25,0.525,0.4881,0.405,0.5417,0.6287,0.5356,0.4828,0.4799,0.4843
NCI-H2009,265,67,36.14,0.4704,0.3339,0.36,14.93,34.33,0.75,0.6979,0.6528,0.4917,0.4893,0.5147,0.5407,0.4809,0.4825,0.4704
NCI-H2023,315,79,29.44,0.5019,0.2797,0.28,22.78,56.96,0.7333,0.5167,0.5321,0.3386,0.4245,0.3729,0.4722,0.4705,0.523,0.5019
NCI-H2030,273,69,54.68,0.4927,0.3881,0.4,4.35,11.59,1.0,0.6222,0.5324,0.4948,0.4745,0.4871,0.4957,0.4961,0.4897,0.4927
NCI-H2085,299,75,37.97,0.4721,0.3568,0.37,2.67,32.0,0.0,0.47,0.5,0.5926,0.5478,0.4655,0.4444,0.4069,0.4815,0.4721
NCI-H2087,320,81,32.92,0.4554,0.3115,0.3,16.05,45.68,0.675,0.4286,0.5649,0.5,0.5137,0.5526,0.5117,0.4878,0.5024,0.4554
NCI-H2110,278,70,50.86,0.5824,0.3883,0.41,4.29,15.71,0.8,0.6667,0.5481,0.5214,0.5458,0.5522,0.5583,0.5645,0.5736,0.5824
NCI-H2122,320,81,56.61,0.627,0.3736,0.4,6.17,20.99,1.0,0.9327,0.7778,0.7109,0.6923,0.693,0.6743,0.6579,0.6477,0.627
NCI-H2135,326,82,21.81,0.4917,0.2162,0.21,42.68,75.61,0.625,0.7262,0.7018,0.669,0.5909,0.5843,0.5904,0.5853,0.5301,0.4917
NCI-H2170,316,80,36.36,0.4355,0.3152,0.305,8.75,47.5,0.4,0.4917,0.5944,0.5278,0.5192,0.593,0.5785,0.4926,0.4326,0.4355
NCI-H2172,273,69,11.4,0.6972,0.1262,0.12,86.96,98.55,,,,0.9444,0.8088,0.8,0.8953,0.8385,0.7747,0.6972
NCI-H2228,315,79,25.13,0.6029,0.2518,0.24,34.18,67.09,0.6429,0.5385,0.4375,0.4148,0.4191,0.4355,0.5467,0.5094,0.5665,0.6029
NCI-H226,342,86,22.66,0.5286,0.2384,0.24,38.37,66.28,0.3929,0.1719,0.517,0.47,0.5317,0.4844,0.5645,0.5365,0.5491,0.5286
NCI-H2291,278,70,13.79,0.6812,0.1401,0.13,80.0,94.29,0.4,0.1667,0.1053,0.3667,0.4315,0.5671,0.622,0.5863,0.6503,0.6812
NCI-H23,339,85,44.58,0.5404,0.3752,0.39,5.88,17.65,0.55,0.5833,0.5799,0.559,0.619,0.6069,0.5673,0.568,0.5642,0.5404
NCI-H2342,264,67,26.59,0.5618,0.277,0.27,23.88,59.7,,0.7917,0.6912,0.6182,0.6731,0.6924,0.6155,0.5902,0.6056,0.5618
NCI-H2347,271,68,29.79,0.5053,0.2951,0.28,17.65,52.94,0.5,0.625,0.5,0.3977,0.3812,0.4629,0.4932,0.4389,0.4412,0.5053
NCI-H2405,318,80,20.1,0.7327,0.2211,0.22,41.25,77.5,,0.7667,0.5,0.6,0.6261,0.6307,0.6733,0.6429,0.7288,0.7327
NCI-H2444,274,69,8.16,0.3914,0.1051,0.09,91.3,97.1,0.1667,0.0769,0.05,0.037,0.5,0.4125,0.558,0.4874,0.4306,0.3914
NCI-H292,278,70,68.39,0.4755,0.3216,0.325,11.43,44.29,0.75,0.3111,0.4712,0.4035,0.4837,0.5074,0.4508,0.3719,0.4517,0.4755
NCI-H3122,312,78,40.77,0.5686,0.3522,0.375,10.26,29.49,0.5833,0.7083,0.6429,0.5229,0.4843,0.5354,0.535,0.5547,0.5303,0.5686
NCI-H322M,339,85,22.17,0.5528,0.2025,0.19,54.12,81.18,,0.8,0.8,0.7302,0.6601,0.7085,0.6273,0.5556,0.5333,0.5528
NCI-H358,317,80,41.81,0.6721,0.3445,0.36,8.75,28.75,1.0,0.9141,0.8264,0.7969,0.7551,0.7421,0.7327,0.6979,0.6664,0.6721
NCI-H441,321,81,8.71,0.444,0.0848,0.07,91.36,100.0,,0.8,0.5217,0.5111,0.4035,0.6395,0.5474,0.4732,0.4978,0.444
NCI-H460,274,69,51.9,0.4782,0.383,0.41,5.8,15.94,0.5,0.3625,0.3571,0.4231,0.4439,0.4525,0.4579,0.4684,0.4799,0.4782
NCI-H520,317,80,46.1,0.5384,0.4065,0.425,1.25,5.0,0.5333,0.5636,0.6214,0.6032,0.5547,0.5049,0.5428,0.5485,0.5257,0.5384
NCI-H522,312,78,37.69,0.6142,0.3756,0.38,3.85,12.82,0.5,0.5769,0.6105,0.5513,0.6056,0.5541,0.5552,0.6221,0.6022,0.6142
NCI-H596,318,80,24.37,0.6378,0.2388,0.23,38.75,73.75,0.1429,0.5513,0.3571,0.4196,0.6953,0.6701,0.6537,0.6702,0.6518,0.6378
NCI-H647,272,69,61.88,0.6224,0.3287,0.35,15.94,31.88,0.8,0.697,0.7333,0.6875,0.6761,0.5944,0.5755,0.5688,0.6087,0.6224
NCI-H650,322,81,35.98,0.5536,0.3264,0.32,13.58,43.21,0.1667,0.2115,0.5556,0.5654,0.5425,0.5569,0.5486,0.5907,0.5498,0.5536
NCI-H661,318,80,37.94,0.4887,0.3498,0.355,6.25,32.5,0.4667,0.3917,0.3906,0.4416,0.578,0.5527,0.5296,0.5435,0.5,0.4887
NCI-H720,337,85,28.91,0.5731,0.2584,0.23,31.76,62.35,0.1786,0.2976,0.4143,0.4894,0.6384,0.5128,0.5739,0.5544,0.5281,0.5731
NCI-H727,317,80,23.17,0.4336,0.2373,0.235,35.0,71.25,0.3571,0.4615,0.4842,0.52,0.5233,0.5258,0.5286,0.4864,0.4955,0.4336
NCI-H810,320,81,53.62,0.5357,0.3817,0.41,6.17,17.28,0.35,0.5,0.5779,0.5533,0.5405,0.5483,0.5486,0.5398,0.5375,0.5357
NCI-H835,175,44,36.99,0.424,0.358,0.365,4.55,20.45,0.6667,0.7,0.4796,0.55,0.4463,0.4835,0.3866,0.4443,0.4154,0.424
NCI-H838,274,69,41.69,0.517,0.3614,0.37,4.35,21.74,0.5,0.5,0.5663,0.5694,0.5417,0.5556,0.5538,0.522,0.517,0.517
PC-14,323,81,56.19,0.719,0.3517,0.38,14.81,24.69,0.6111,0.6894,0.6801,0.6275,0.6803,0.6786,0.6809,0.6744,0.69,0.719
PC-3_[JPC-3],266,67,27.93,0.4785,0.2742,0.29,25.37,56.72,0.35,0.6354,0.5192,0.4475,0.3854,0.3561,0.2967,0.3036,0.4065,0.4785
RERF-LC-KJ,322,81,34.0,0.5108,0.312,0.31,22.22,44.44,0.5556,0.5786,0.6442,0.5075,0.4488,0.4491,0.4565,0.4461,0.5074,0.5108
RERF-LC-MS,277,70,48.41,0.5046,0.3899,0.405,4.29,12.86,,0.4667,0.5093,0.5026,0.49,0.4531,0.4802,0.4908,0.4921,0.5046
RERF-LC-Sq1,320,80,27.0,0.5835,0.2598,0.27,31.25,60.0,,0.7949,0.7053,0.7222,0.7322,0.6303,0.6418,0.646,0.6504,0.5835
SK-LU-1,318,80,31.66,0.5113,0.2961,0.315,20.0,45.0,0.3333,0.5167,0.4648,0.45,0.5412,0.5465,0.5375,0.5313,0.4445,0.5113
SK-MES-1,322,81,41.19,0.5804,0.3588,0.37,4.94,20.99,0.5278,0.6212,0.7051,0.6746,0.6328,0.5368,0.5678,0.5824,0.5895,0.5804
SW1573,321,81,13.93,0.5362,0.1379,0.13,76.54,93.83,0.25,0.5833,0.5536,0.5286,0.5777,0.4728,0.4554,0.5173,0.5059,0.5362
UMC-11,316,80,47.98,0.6751,0.3842,0.4,3.75,13.75,1.0,0.9,0.7852,0.7321,0.7136,0.7027,0.696,0.6907,0.6846,0.6751
VMRC-LCD,216,55,29.15,0.6622,0.2764,0.28,29.09,54.55,0.2,0.1,0.6827,0.7143,0.5102,0.4121,0.4113,0.5317,0.5426,0.6622
