Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov001,CL_cov002,CL_cov003,CL_cov004,CL_cov005,CL_cov006,CL_cov007,CL_cov008,CL_cov009,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov001,CS_cov002,CS_cov003,CS_cov004,CS_cov005,CS_cov006,CS_cov007,CS_cov008,CS_cov009,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov001,CSP_cov002,CSP_cov003,CSP_cov004,CSP_cov005,CSP_cov006,CSP_cov007,CSP_cov008,CSP_cov009,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
A427,309,78,12,60.21,0.5795,0.5403,0.5948,0.6144,0.626,0.5461,0.5221,0.3827,0.5614,0.5367,0.4546,0.4924,0.5192,0.3482,0.2169,0.2474,0.0,38.46,,,1.0,0.6667,0.6667,0.5,0.4,0.3333,0.5833,0.5833,0.5273,0.6296,0.5498,0.5296,0.5083,0.591,0.5951,0.5647,0.5795,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,0.4,0.3333,0.3333,0.5333,0.4593,0.4273,0.5148,0.5686,0.58,0.5465,0.5362,0.5795,,,1.0,0.6667,0.6667,0.8333,0.75,0.7,0.8,0.8,0.6167,0.5156,0.5411,0.5657,0.5083,0.57,0.5951,0.5647,0.5795
A549,321,81,12,48.76,0.525,0.5525,0.5201,0.5595,0.5067,0.5354,0.4646,0.5287,0.6013,0.5226,0.5818,0.5415,0.5092,0.3633,0.2098,0.2699,0.0,43.21,0.0,0.0,0.5,0.6667,0.75,0.75,0.8,0.7,0.6667,0.6667,0.6571,0.6859,0.6434,0.6411,0.6313,0.5889,0.5634,0.5495,0.525,0.0,0.0,0.5,0.75,0.6667,0.6667,0.75,0.5,0.4667,0.3889,0.6,0.5844,0.6103,0.6048,0.58,0.5517,0.5559,0.5429,0.525,0.0,0.0,0.5,0.6667,0.75,0.75,0.75,0.75,0.7333,0.6667,0.6286,0.6859,0.6815,0.6167,0.6296,0.5776,0.5634,0.5586,0.525
ABC-1,308,78,12,43.52,0.501,0.5027,0.4997,0.5143,0.4468,0.5189,0.5282,0.507,0.5302,0.5429,0.485,0.5488,0.5561,0.3752,0.2256,0.2956,0.0,28.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333,0.7569,0.6602,0.5455,0.5673,0.5333,0.5163,0.5024,0.501,,,0.5,0.25,0.25,0.5,0.5556,0.5833,0.6667,0.6667,0.6667,0.6714,0.502,0.5,0.5513,0.5595,0.5323,0.5343,0.501,,,1.0,0.6667,0.6667,0.75,0.8,0.8,0.8,0.8,0.8095,0.7762,0.5952,0.5455,0.5385,0.5544,0.5163,0.5024,0.501
BEN,275,69,12,29.36,0.6587,0.567,0.5258,0.5665,0.5665,0.6766,0.6567,0.6954,0.6111,0.6438,0.6062,0.3343,0.6935,0.2747,0.1969,0.1553,0.0,53.62,,,,,,,,1.0,0.8333,0.8333,0.5758,0.3519,0.4271,0.546,0.6364,0.7327,0.6859,0.6481,0.6587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7,0.7,0.7,0.6556,0.6531,0.732,0.725,0.6351,0.6553,0.714,0.6587,,,,,,1.0,1.0,1.0,1.0,1.0,0.675,0.625,0.6212,0.6122,0.7302,0.7327,0.6859,0.6481,0.6587
CAL-12T,279,70,12,59.6,0.5855,0.5798,0.5107,0.5863,0.6168,0.6382,0.625,0.6768,0.5609,0.5847,0.4605,0.5156,0.6044,0.3491,0.2203,0.2562,0.0,34.29,,,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,0.5,0.3778,0.4808,0.5348,0.6118,0.6068,0.61,0.6003,0.5735,0.5855,1.0,1.0,1.0,1.0,0.75,0.6667,0.6667,0.7778,0.75,0.75,0.4667,0.4519,0.5294,0.5136,0.5341,0.5281,0.5716,0.574,0.5855,1.0,1.0,1.0,1.0,1.0,0.6667,0.6667,0.5,0.5,0.5,0.4792,0.5556,0.5885,0.58,0.6068,0.569,0.5833,0.5735,0.5855
COR-L105,317,80,12,44.08,0.6905,0.7228,0.6381,0.6957,0.6784,0.7302,0.6669,0.6947,0.6944,0.6912,0.5748,0.6221,0.6746,0.3148,0.1992,0.2218,6.25,47.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8259,0.7954,0.735,0.6785,0.7026,0.7008,0.6905,,,,,,,,1.0,1.0,1.0,1.0,0.9429,0.8651,0.8195,0.735,0.7152,0.7034,0.6752,0.6905,,,,,,,1.0,1.0,1.0,1.0,0.9833,0.8906,0.8532,0.8106,0.735,0.6917,0.7026,0.7008,0.6905
COR-L23,321,81,12,53.48,0.5355,0.5453,0.5373,0.4933,0.5881,0.5312,0.4896,0.4853,0.5312,0.4712,0.552,0.53,0.4621,0.3582,0.2199,0.2676,0.0,32.1,,,0.0,0.0,0.0,0.0,0.0,0.3333,0.2667,0.45,0.625,0.5714,0.5882,0.5478,0.5518,0.5325,0.5381,0.5347,0.5355,,,0.0,0.0,0.0,0.0,0.25,0.4,0.3333,0.2222,0.4,0.4931,0.594,0.5686,0.5552,0.5593,0.5777,0.5504,0.5355,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.2667,0.2222,0.6528,0.5714,0.5481,0.5478,0.565,0.5422,0.5326,0.5391,0.5355
Calu-3,321,81,12,23.13,0.7241,0.7155,0.6574,0.7181,0.6634,0.7264,0.6462,0.6522,0.7301,0.6589,0.6364,0.6664,0.6754,0.2034,0.1693,0.0991,29.63,61.73,,,,,,,,,,,0.8667,0.697,0.6857,0.6471,0.6389,0.6667,0.6787,0.6534,0.7241,,,,,,,,,,,0.7333,0.6515,0.5862,0.6303,0.5732,0.5787,0.6359,0.6316,0.7241,,,,,,,,,,,0.7333,0.7121,0.6929,0.6471,0.5762,0.6225,0.6443,0.6239,0.7241
Calu-6,339,85,12,37.26,0.4901,0.5493,0.4581,0.4815,0.4871,0.5376,0.5135,0.4464,0.4926,0.5517,0.5135,0.5289,0.5179,0.3574,0.2212,0.2674,0.0,36.47,,,0.0,0.3333,0.1667,0.1111,0.1111,0.0833,0.0667,0.0556,0.3788,0.3611,0.5568,0.4881,0.4689,0.5263,0.52,0.4781,0.4901,1.0,1.0,0.5,0.75,0.6667,0.4444,0.4444,0.4167,0.4667,0.3889,0.375,0.3856,0.2978,0.5069,0.5312,0.5276,0.5339,0.4933,0.4901,0.0,0.0,0.0,0.0,0.0,0.1111,0.1111,0.0833,0.3125,0.3,0.4857,0.4837,0.4962,0.4881,0.5084,0.5275,0.52,0.4781,0.4901
ChaGo-K-1,275,69,12,27.91,0.6895,0.6825,0.5556,0.5873,0.6052,0.5992,0.5734,0.6171,0.6101,0.6414,0.6359,0.6587,0.7173,0.2351,0.1666,0.1018,7.25,72.46,1.0,1.0,0.5,0.5,0.75,0.5,0.5,0.375,0.3,0.3,0.125,0.3148,0.5985,0.6581,0.5185,0.4278,0.5246,0.6419,0.6895,,,,,,0.75,0.75,0.6,0.6667,0.6667,0.4545,0.45,0.4924,0.537,0.511,0.4611,0.4687,0.6184,0.6895,,,,,,0.25,0.25,0.2,0.1667,0.1667,0.5,0.525,0.5227,0.5051,0.5421,0.4923,0.5265,0.6419,0.6895
EBC-1,318,80,12,46.23,0.5928,0.5925,0.5764,0.5852,0.6048,0.5562,0.4981,0.5189,0.6641,0.5515,0.4672,0.596,0.608,0.3847,0.2269,0.3117,0.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143,0.75,0.7542,0.6875,0.6298,0.6192,0.5951,0.607,0.5928,,,,,,,1.0,0.8333,0.8571,0.8571,0.7167,0.7929,0.6587,0.6086,0.5868,0.6288,0.5971,0.6006,0.5928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.9167,0.7692,0.8125,0.7542,0.6823,0.6279,0.6166,0.5951,0.607,0.5928
EKVX,334,84,12,14.35,0.7024,0.6572,0.6269,0.6945,0.5821,0.6602,0.5724,0.583,0.5663,0.6027,0.6488,0.6119,0.6646,0.1248,0.1171,0.0391,60.71,82.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.1875,0.5526,0.6558,0.5549,0.6683,0.6606,0.7024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4301,0.5461,0.6111,0.6644,0.7068,0.7028,0.7024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3932,0.6494,0.6201,0.6241,0.6935,0.7024
EMC-BAC-1,253,64,12,52.05,0.5446,0.5579,0.5405,0.5621,0.5333,0.5805,0.5446,0.6205,0.5723,0.5374,0.4513,0.5138,0.5395,0.333,0.2084,0.2277,0.0,50.0,,,,,1.0,1.0,0.75,0.6,0.6,0.5,0.4545,0.5733,0.5333,0.5368,0.5371,0.5378,0.5311,0.5276,0.5446,1.0,1.0,1.0,0.5,0.5,0.5,0.6667,0.625,0.625,0.6667,0.6333,0.6533,0.6667,0.619,0.5861,0.5789,0.553,0.5417,0.5446,,,,1.0,0.6667,0.6667,0.75,0.6,0.6,0.5,0.4545,0.619,0.5414,0.5364,0.5528,0.5453,0.5295,0.5276,0.5446
EMC-BAC-2,300,75,12,59.73,0.6312,0.6133,0.5828,0.5689,0.5623,0.6694,0.585,0.6584,0.6598,0.6243,0.5975,0.5733,0.6136,0.3566,0.2255,0.272,0.0,29.33,,,1.0,1.0,0.6667,0.5,0.75,0.75,0.6,0.7333,0.6,0.55,0.6296,0.5754,0.6261,0.6068,0.6124,0.6084,0.6312,,,,,,0.5,0.5,0.5,0.5,0.5333,0.6667,0.6,0.6124,0.6725,0.6222,0.6242,0.6169,0.6414,0.6312,,,1.0,1.0,0.6667,0.5,0.75,0.75,0.6,0.5,0.64,0.5873,0.5837,0.5723,0.6056,0.6068,0.6124,0.6181,0.6312
EPLC-272H,322,81,12,68.24,0.6314,0.6279,0.5893,0.6114,0.5529,0.6893,0.5514,0.555,0.6664,0.6639,0.4943,0.6393,0.6807,0.2979,0.2066,0.1957,0.0,43.21,,,,,,,,,,1.0,0.8,0.627,0.5556,0.5364,0.4977,0.5183,0.6201,0.6522,0.6314,,,,,,,0.8,0.8333,0.8333,0.7143,0.6731,0.5526,0.5,0.5833,0.5796,0.5971,0.6418,0.6304,0.6314,,,,,,,,0.8333,0.8571,0.8571,0.8,0.627,0.5,0.4742,0.5449,0.5899,0.6201,0.6522,0.6314
H3255,307,77,12,23.96,0.5314,0.514,0.5405,0.5496,0.5149,0.5785,0.5818,0.6562,0.5835,0.5628,0.3694,0.5289,0.5091,0.2048,0.16,0.1003,32.47,64.94,0.0,0.0,0.0,0.5,0.5,0.6667,0.75,0.5,0.5,0.6,0.3175,0.2422,0.2677,0.3409,0.3429,0.3508,0.3512,0.4974,0.5314,0.0,0.0,0.0,0.5,0.5,0.6667,0.4444,0.5,0.5,0.375,0.25,0.1681,0.2677,0.2828,0.3333,0.3471,0.4443,0.4985,0.5314,0.0,0.0,0.0,0.5,0.5,0.6667,0.75,0.5,0.5,0.375,0.3175,0.2422,0.1685,0.2621,0.3959,0.3527,0.3512,0.4974,0.5314
HARA,321,81,12,58.71,0.6981,0.6247,0.6718,0.6678,0.6112,0.6112,0.6671,0.3268,0.6664,0.6247,0.5836,0.6813,0.6516,0.348,0.2142,0.249,0.0,44.44,,,,,,,1.0,0.8333,0.7143,0.8571,0.7308,0.7193,0.6978,0.6875,0.7137,0.7016,0.7284,0.7192,0.6981,,,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.4667,0.4444,0.7308,0.6825,0.65,0.7011,0.7386,0.7222,0.7024,0.716,0.6981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444,0.5952,0.65,0.6484,0.7032,0.7005,0.7206,0.7284,0.7192,0.6981
HCC-15,322,81,12,27.79,0.5614,0.6389,0.5833,0.5936,0.5526,0.5987,0.6118,0.6235,0.6023,0.5033,0.5022,0.5175,0.5037,0.2411,0.169,0.1215,11.11,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6667,0.5333,0.4444,0.2885,0.4841,0.4676,0.4788,0.4505,0.5032,0.5378,0.6035,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2143,0.2619,0.31,0.455,0.546,0.6061,0.5798,0.5789,0.5577,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.2143,0.2885,0.29,0.405,0.4758,0.5327,0.5427,0.5366,0.6026,0.5614
HCC-366,204,52,12,22.66,0.4896,0.4714,0.5191,0.5278,0.599,0.4618,0.5156,0.5122,0.5,0.4601,0.5347,0.5,0.5156,0.1548,0.1354,0.0539,55.77,73.08,,,,,,1.0,1.0,0.75,0.75,0.875,0.7,0.3818,0.4388,0.5033,0.372,0.4406,0.4828,0.4567,0.4896,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3929,0.25,0.3333,0.4444,0.372,0.4406,0.4306,0.4958,0.4896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.5,0.4333,0.45,0.3333,0.4097,0.372,0.4406,0.425,0.4567,0.4896
HCC-44,314,79,12,67.68,0.5323,0.5229,0.4729,0.574,0.5417,0.6042,0.7042,0.3771,0.5448,0.6297,0.3969,0.3198,0.5385,0.333,0.2212,0.2367,0.0,37.97,1.0,1.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.1429,0.0667,0.3636,0.7436,0.6494,0.688,0.6288,0.5852,0.5505,0.5323,,,,,,0.25,0.2,0.3333,0.4286,0.4286,0.2857,0.3409,0.4483,0.6537,0.5401,0.4781,0.5163,0.5626,0.5323,0.0,0.0,0.5,0.3333,0.3333,0.25,0.2,0.1667,0.1429,0.1429,0.5,0.3636,0.625,0.7204,0.6447,0.5899,0.5852,0.5505,0.5323
HCC-78,320,80,12,60.75,0.476,0.5994,0.5139,0.4023,0.5869,0.4861,0.4483,0.5355,0.5112,0.4787,0.3847,0.5179,0.4557,0.3741,0.2218,0.2915,0.0,32.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.4755,0.4802,0.5076,0.4574,0.4278,0.4667,0.4607,0.476,,,0.5,0.6667,0.6667,0.3333,0.2222,0.1667,0.2,0.2,0.5167,0.3906,0.4026,0.3874,0.4222,0.4231,0.4274,0.4548,0.476,,,,0.3333,0.3333,0.3333,0.3333,0.3333,0.25,0.25,0.2667,0.4,0.4802,0.5126,0.4839,0.4278,0.4646,0.4607,0.476
HCC-827,316,80,12,26.01,0.6262,0.6085,0.6661,0.6152,0.5545,0.6234,0.6223,0.6716,0.5968,0.665,0.4898,0.5494,0.6097,0.2474,0.1806,0.1286,11.25,62.5,,,,1.0,1.0,0.75,0.6,0.5,0.4286,0.4286,0.3929,0.4603,0.6,0.75,0.7458,0.6569,0.6055,0.6704,0.6262,,,,,,,,,0.4286,0.4286,0.2,0.4762,0.5446,0.6703,0.5641,0.6748,0.657,0.6246,0.6262,,,,,,,0.6,0.5,0.4286,0.4286,0.2,0.25,0.5852,0.6523,0.6782,0.665,0.6618,0.6471,0.6262
HOP-62,339,85,12,49.76,0.5769,0.5293,0.5753,0.4351,0.5106,0.5875,0.6254,0.3969,0.5758,0.5814,0.4933,0.5769,0.5713,0.3806,0.2255,0.3027,0.0,28.24,1.0,1.0,1.0,0.75,0.6667,0.625,0.625,0.6667,0.6875,0.7,0.6,0.6,0.619,0.5867,0.5745,0.5746,0.572,0.5772,0.5769,0.0,0.0,0.0,0.25,0.3333,0.4444,0.4444,0.3333,0.2667,0.2,0.2571,0.4083,0.4132,0.511,0.5423,0.5611,0.5694,0.5833,0.5769,,,1.0,0.75,0.6667,0.625,0.625,0.6667,0.6875,0.7,0.5857,0.6125,0.6023,0.5933,0.5714,0.5814,0.572,0.5772,0.5769
HOP-92,284,71,12,27.61,0.5514,0.5024,0.5067,0.6152,0.6048,0.5819,0.5257,0.44,0.5705,0.4676,0.5571,0.5019,0.4676,0.2525,0.1832,0.129,0.0,59.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4062,0.3571,0.4808,0.4375,0.4636,0.3899,0.4931,0.5514,,,0.0,0.0,0.25,0.3333,0.3333,0.2222,0.25,0.1875,0.3704,0.4274,0.4389,0.3909,0.3667,0.3823,0.4385,0.4969,0.5514,,,,,0.3333,0.1667,0.1667,0.125,0.2,0.2667,0.32,0.5446,0.5278,0.3992,0.3788,0.4079,0.4402,0.457,0.5514
IA-LM,334,84,12,21.77,0.5399,0.5061,0.4583,0.5303,0.417,0.5777,0.4574,0.4996,0.5189,0.6567,0.6076,0.3986,0.626,0.2236,0.1817,0.1022,3.57,63.1,,,,,,,,,1.0,0.875,0.5333,0.6571,0.5536,0.5846,0.5634,0.4714,0.578,0.5366,0.5399,0.0,0.0,0.5,0.6667,0.75,0.8,0.8,0.6,0.5833,0.6429,0.4667,0.4762,0.4414,0.4861,0.5265,0.5887,0.6101,0.5366,0.5399,,,1.0,1.0,0.75,0.625,0.625,0.7,0.6667,0.5556,0.6346,0.6476,0.4759,0.4676,0.5707,0.5284,0.6151,0.5366,0.5399
KNS-62,246,62,12,32.47,0.4389,0.4389,0.4062,0.3927,0.5204,0.4063,0.5054,0.5652,0.3777,0.4226,0.5054,0.5054,0.4266,0.319,0.2117,0.2131,0.0,45.16,1.0,1.0,1.0,1.0,0.5,0.5,0.6667,0.6667,0.4444,0.3333,0.25,0.4103,0.4632,0.404,0.3786,0.3118,0.4241,0.452,0.4389,1.0,1.0,1.0,0.5,0.3333,0.3333,0.3333,0.3333,0.25,0.5,0.375,0.4524,0.373,0.3533,0.4,0.4963,0.4563,0.475,0.4389,1.0,1.0,1.0,0.5,0.5,0.5,0.3333,0.3333,0.25,0.2,0.4,0.3718,0.3889,0.404,0.4444,0.3747,0.4241,0.452,0.4389
LC-1-sq,287,72,12,27.58,0.5206,0.5931,0.4712,0.5679,0.5689,0.4979,0.4866,0.4733,0.4342,0.5715,0.5607,0.5,0.6193,0.2615,0.1882,0.1459,6.94,54.17,,,,,1.0,0.75,0.6,0.6,0.5,0.75,0.4167,0.4444,0.6548,0.6655,0.6179,0.5734,0.5789,0.5429,0.5206,1.0,1.0,1.0,1.0,0.6667,0.75,0.6,0.6,0.5,0.4286,0.5833,0.5294,0.5145,0.572,0.551,0.5466,0.5256,0.5191,0.5206,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.6,0.5,0.4286,0.4167,0.4583,0.5145,0.5089,0.5885,0.5714,0.5789,0.5429,0.5206
LC-2-ad,294,74,12,69.84,0.5624,0.6644,0.5921,0.4133,0.6101,0.6047,0.4816,0.4825,0.5624,0.5768,0.4915,0.3315,0.5669,0.2898,0.207,0.1741,0.0,47.3,,,,,,1.0,0.8,0.8,0.9,0.75,0.64,0.3556,0.5284,0.4722,0.5,0.5583,0.5814,0.5374,0.5624,,,1.0,1.0,0.5,0.3333,0.5556,0.5556,0.5,0.4375,0.537,0.5917,0.59,0.5385,0.5433,0.564,0.5284,0.5329,0.5624,,,,,0.6667,0.75,0.8,0.8,0.8333,0.8333,0.58,0.5446,0.5397,0.4563,0.3673,0.5168,0.6151,0.5374,0.5624
LCLC-103H,316,80,12,39.65,0.578,0.5681,0.5695,0.3812,0.6313,0.5958,0.5036,0.4325,0.5655,0.497,0.4858,0.5431,0.4852,0.362,0.2263,0.2718,0.0,37.5,,,1.0,0.6667,0.6667,0.5,0.75,0.6,0.7333,0.7333,0.5333,0.4844,0.6042,0.5356,0.6111,0.5653,0.5792,0.5885,0.578,,,,0.0,0.0,0.0,0.2,0.3333,0.25,0.25,0.4167,0.3579,0.3429,0.4046,0.4343,0.4266,0.5172,0.5694,0.578,,,,,,,0.2,0.3333,0.6667,0.6667,0.5167,0.4609,0.4203,0.5413,0.6167,0.5653,0.5589,0.5885,0.578
LCLC-97TM1,321,81,12,69.4,0.382,0.4451,0.5233,0.5075,0.4808,0.3313,0.513,0.5226,0.369,0.3995,0.415,0.4328,0.3971,0.3003,0.2041,0.1929,1.23,40.74,1.0,1.0,0.5,0.3333,0.25,0.25,0.625,0.5,0.6667,0.5556,0.5694,0.4805,0.4662,0.415,0.4655,0.4962,0.4075,0.4034,0.382,1.0,1.0,1.0,0.75,0.8333,0.8333,0.875,0.8333,0.8125,0.7,0.7714,0.6218,0.4889,0.4807,0.4431,0.4348,0.3675,0.3648,0.382,1.0,1.0,0.5,0.75,0.6667,0.6667,0.625,0.6,0.6667,0.5556,0.6806,0.5577,0.5259,0.5024,0.4915,0.4338,0.4075,0.4034,0.382
LK-2,320,80,12,49.75,0.4752,0.5693,0.4662,0.4932,0.4739,0.5493,0.5152,0.5319,0.5326,0.4468,0.452,0.4336,0.4442,0.3717,0.2213,0.2863,0.0,37.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.75,0.75,0.6875,0.5833,0.5238,0.504,0.49,0.4893,0.4927,0.4846,0.4752,1.0,1.0,0.5,0.3333,0.3333,0.5,0.375,0.3333,0.4,0.4,0.3818,0.437,0.5022,0.4478,0.4744,0.4816,0.4919,0.4762,0.4752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.75,0.75,0.7179,0.5648,0.5325,0.5093,0.4864,0.4906,0.4938,0.4846,0.4752
LOU-NH91,321,81,12,30.1,0.5989,0.551,0.5788,0.6283,0.5544,0.5663,0.5939,0.6536,0.5375,0.6899,0.5344,0.7078,0.6252,0.2466,0.1816,0.1201,12.35,56.79,,,,,1.0,1.0,1.0,0.8,0.6667,0.5714,0.6167,0.5159,0.5652,0.641,0.6707,0.6343,0.6277,0.619,0.5989,0.0,0.0,0.5,0.6667,0.6667,0.6667,0.75,0.7,0.6667,0.7143,0.65,0.6838,0.623,0.645,0.6667,0.6036,0.611,0.5915,0.5989,,,1.0,1.0,1.0,1.0,0.8,0.8,0.6667,0.5714,0.5577,0.5397,0.627,0.6051,0.6854,0.685,0.6257,0.5977,0.5989
LU-65,342,86,12,23.13,0.5277,0.5178,0.4864,0.5033,0.5146,0.4066,0.5596,0.5352,0.462,0.6216,0.6516,0.4047,0.5221,0.2557,0.198,0.1453,1.16,52.33,,,,,,1.0,0.8333,0.8333,0.7143,0.625,0.7778,0.6381,0.5115,0.5357,0.5476,0.4686,0.519,0.4982,0.5277,1.0,1.0,1.0,1.0,1.0,0.875,0.9,0.9,0.9167,0.9286,0.8444,0.6667,0.5969,0.525,0.4432,0.4017,0.4687,0.5053,0.5277,,,,,,,,,,,0.5938,0.7167,0.6173,0.5429,0.4858,0.4686,0.5175,0.4982,0.5277
LU-99A,316,79,12,36.46,0.6462,0.666,0.6476,0.307,0.5652,0.6509,0.6397,0.6476,0.5672,0.5863,0.5889,0.666,0.6476,0.3036,0.2017,0.1815,0.0,46.84,,,,,,,,1.0,0.8571,0.8571,0.6667,0.7891,0.6623,0.5755,0.5801,0.5775,0.6711,0.6407,0.6462,0.0,0.0,0.5,0.6667,0.6667,0.5,0.4,0.5,0.5,0.5,0.4792,0.5093,0.5758,0.5897,0.6167,0.619,0.6707,0.6563,0.6462,,,,,,1.0,1.0,0.8333,0.7143,0.7143,0.7083,0.6303,0.6147,0.5208,0.5434,0.5761,0.6721,0.6407,0.6462
